Borough,ID,Survey Date,Survey Year,On-Carriageway (if 1) or Off-Carriageway (if 0),Segregated Lane/Track,Stepped Lane/Track,Partially Segregated Lane/Track,Shared Lane or Footway,Mandatory Cycle Lane,Advisory Cycle Lane,Cycle Lane/Track Priority,Contraflow Lane/Track,Bi-directional,Cycle Bypass,Continuous Cycle Facilities at Bus Stop,Park Route,Waterside Route,Part-time (if 1) or Full-time (if 0),Total Tracks or Lanes,Access Times,Colour
WalthamForest, RWG149482,28/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155059,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154972,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat 10am-7pm, NONE
Greenwich, RWG184850,14/11/2017,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG154974,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, RED
WalthamForest, RWG187371,27/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187542,22/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186054,16/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1, None, NONE
Greenwich, RWG186053,16/11/2017,2017,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1, None, GREEN
Greenwich, RWG277364,08/03/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, RED
Newham, RWG155057,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186050,16/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1, None, NONE
Newham, RWG154977,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184855,15/11/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Bromley, RWG204833,29/11/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-Fri 7-10am, RED
WalthamForest, RWG187581,23/01/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149495,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149520,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198901,23/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Newham, RWG155053,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155048,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG154980,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187577,23/01/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG154982,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149508,29/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149519,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, RED
Greenwich, RWG290285,05/04/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG150299,02/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG155046,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pn-7pm sat 10am-7pm, NONE
WalthamForest, RWG150194,03/10/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149484,28/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149521,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155045,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat10am-7pm, NONE
Lewisham, RWG198899,23/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Newham, RWG155006,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149106,17/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, RED
Newham, RWG155038,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat 10am-7pm, NONE
WalthamForest, RWG276297,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG185030,09/11/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187557,22/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Bromley, RWG204678,29/11/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155008,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155035,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155036,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat 10am-7PM, NONE
WalthamForest, RWG187582,23/01/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG155032,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Bromley, RWG204768,06/12/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276378,07/03/2018,2018,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1, None, NONE
WalthamForest, RWG150200,04/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187524,22/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Croydon, RWG205026,28/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1, None, NONE
Newham, RWG155033,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-Fri 7am-10am 4pm-7pm Saturday 10am-7pm, NONE
TowerHamlets, RWG108968,10/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1, 8.00 -18.30, NONE
Newham, RWG155010,17/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Bromley, RWG204770,06/12/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149457,27/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276301,07/03/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155030,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10pm 4pm-7pm sat 10am-7pm, NONE
Newham, RWG155012,17/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, RED
Newham, RWG155028,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat 10am 7pm, NONE
Greenwich, RWG184854,15/11/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG198501,18/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG155013,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-Fri 7am-10am 4pm-7pm Saturday 10am-7pm, RED
WalthamForest, RWG187525,22/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276339,13/03/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG155020,17/10/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, mon-fri 7am-10am 4pm-7pm sat 10-7pm, RED
Newham, RWG155091,18/10/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187684,25/01/2018,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG150129,29/09/2017,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, None, RED
Newham, RWG156045,18/10/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198082,16/11/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149494,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155096,18/10/2017,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149485,28/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276300,07/03/2018,2018,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG244341,21/02/2018,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, Mon-fri 3pm -7pm, RED
WalthamForest, RWG276292,29/09/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155095,18/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
TowerHamlets, RWG073352,08/07/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, BLUE
WalthamForest, RWG187456,22/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG155158,19/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
WalthamForest, RWG149486,28/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198036,13/11/2017,2017,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG155159,19/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
Newham, RWG155169,19/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184856,15/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Newham, RWG155207,19/10/2017,2017,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, GREEN
TowerHamlets, RWG108953,10/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Newham, RWG155211,19/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, GREEN
Newham, RWG155217,19/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Lewisham, RWG198431,13/11/2017,2017,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG150310,05/10/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Bromley, RWG204686,29/11/2017,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187705,26/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG185410,14/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
Greenwich, RWG185541,22/01/2018,2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187460,22/01/2018,2018,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, None, NONE
Newham, RWG155281,19/10/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG149460,27/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG276291,29/09/2017,2017,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1, None, NONE
WalthamForest, RWG187526,22/01/2018,2018,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG184966,15/11/2017,2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1, 3pm-7pm, RED
TowerHamlets, RWG108954,10/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187452,22/01/2018,2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, BUFF/YELLOW
WalthamForest, RWG276379,07/03/2018,2018,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1, None, NONE
Bromley, RWG204683,29/11/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
WalthamForest, RWG187455,22/01/2018,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1, None, BUFF/YELLOW
Greenwich, RWG185382,09/11/2017,2017,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1, None, RED
WalthamForest, RWG187527,22/01/2018,2018,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
Greenwich, RWG186014,14/11/2017,2017,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1, None, NONE
WalthamForest, RWG276298,29/09/2017,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1, None, NONE
